model,family,benchmark,thinking,cost_total,on_prem_cost,DCM,score,source
Gemma 4 26B A4B,Gemma,HLE,0,1.9002,0.4154,4.574,0.107,self
Gemma 4 26B A4B,Gemma,HLE,1,10.236,2.278,4.493,0.183,self
Gemma 4 26B-A4B,Gemma,GPQA Diamond,0,0.08994,0.01943,4.629,0.714,self
Gemma 4 26B-A4B,Gemma,GPQA Diamond,1,0.73494,0.16348,4.496,0.792,self
Gemma 4 31B,Gemma,CritPt,0,0.1648,0.0768,2.146,0.0,self
Gemma 4 31B,Gemma,CritPt,1,0.8382,0.42624,1.966,0.014,self
Gemma 4 31B,Gemma,GPQA Diamond,0,0.05768,0.02688,2.146,0.763,self
Gemma 4 31B,Gemma,GPQA Diamond,1,0.42028,0.21504,1.954,0.857,self
Gemma 4 31B,Gemma,HLE,0,1.0424,0.4992,2.088,0.115,self
Gemma 4 31B,Gemma,HLE,1,6.9254,3.552,1.95,0.227,self
Qwen3 235B 2507,Qwen,AIME 2025,0,0.43172,0.0324,13.325,0.717,self
Qwen3 235B 2507,Qwen,LiveCodeBench,0,4.289,0.3078,13.934,0.524,self
Qwen3 235B A22B 2507,Qwen,AIME 2025,1,1.38202,0.104004,13.288,0.91,self
Qwen3 235B A22B 2507,Qwen,LiveCodeBench,1,38.775,2.90628,13.342,0.788,self
Qwen3 32B,Qwen,AIME 2025,1,0.2301585,0.086436,2.663,0.73,self
Qwen3 32B,Qwen,LiveCodeBench,1,3.796,1.4014,2.709,0.546,self
Qwen3 32B,Qwen,MMLU-Pro,0,3.302,1.0388,3.179,0.727,self
Qwen3 32B,Qwen,MMLU-Pro,1,13.9945,5.0764,2.757,0.798,self
Qwen3-235B-A22B 2507,Qwen,IFBench,0,0.3325,0.0243,13.683,0.461,self
Qwen3-235B-A22B 2507,Qwen,IFBench,1,1.6655,0.12474,13.352,0.512,self
Qwen3-235B-A22B 2507,Qwen,MMLU-Pro,0,21.72,1.5552,13.966,0.828,self
Qwen3-235B-A22B 2507,Qwen,MMLU-Pro,1,92.065,6.8526,13.435,0.843,self
Qwen3.5 397B A17B,Qwen,CritPt,0,5.844,0.2272,25.722,0.009,self
Qwen3.5 397B A17B,Qwen,HLE,0,43.602,1.704,25.588,0.188,self
Qwen3.5 397B A17B,Qwen,HLE,1,162.402,6.39,25.415,0.273,self
Qwen3.5-397B-A17B,Qwen,GPQA Diamond,0,1.9014,0.07384,25.75,0.861,self
Qwen3.5-397B-A17B,Qwen,GPQA Diamond,1,4.8894,0.1917,25.505,0.893,self
Qwen3.5-397B-A17B,Qwen,IFBench,0,0.3132,0.011786,26.574,0.516,self
Qwen3.5-397B-A17B,Qwen,IFBench,1,9.6234,0.378998,25.392,0.788,self
Qwen3.6 27B,Qwen,CritPt,0,2.454,0.10317,23.786,0.009,self
Qwen3.6 27B,Qwen,CritPt,1,11.46,0.56834,20.164,0.009,self
Qwen3.6 27B,Qwen,HLE,0,50.802,2.534,20.048,0.136,self
Qwen3.6 27B,Qwen,HLE,1,233.682,11.7288,19.924,0.216,self
Qwen3.6-27B,Qwen,GPQA Diamond,0,2.0814,0.10317,20.174,0.829,self
Qwen3.6-27B,Qwen,GPQA Diamond,1,8.3454,0.41811,19.96,0.842,self
Qwen3.6-27B,Qwen,IFBench,0,2.499,0.12489,20.01,0.457,self
Qwen3.6-27B,Qwen,IFBench,1,12.327,0.61902,19.914,0.676,self
